	sen_id	adv_sentence
0	19	the jabs it employs are short, carefully placed and dead-center.
1	26	if you believe any of this, i can make you a real deal on leftover enron stock that will double in value a week from friday.
2	37	american chai encourages rueful laughter at stereotypes only an indian-american would recognize.
3	60	steven soderbergh's  solaris'is a failure it is a glorious failure.
4	71	it has all the excitement of eating oatmeal.
5	75	something akin to a japanese alice through the looking glass, except that it seems to take itself far more seriously.
6	121	the x potion gives the quickly named blossom, bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes.
7	140	sit through this one, and you won't need a magic watch to stop time ; your dvd player will do it for you.
8	161	if director michael dowse only superficially understands his characters, he doesn't hold them in contempt.
9	164	moretti's compelling anatomy of grief and the difficult process of adapting to loss.
10	195	while there's something intrinsically funny about sir anthony hopkins saying  get in the car, bitch,'this jerry bruckheimer production has little else to offer.
11	202	the dragons are okay, not much fire in the script.
12	247	it's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a terrific climax, and some nice chills along the way.
13	274	the lower your expectations, the more you 'll enjoy it.
14	286	the words,  frankly, my dear, i don't give a damn,'have never been more appropriate.
15	335	this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes.
16	336	enough wasn't just a music video rather than a full-length movie.
17	337	funny but perilously slight.
18	351	routine, harmless diversion and little else.
19	390	harrison's flowers puts its heart in the right place, but its brains are in no particular place at all.
20	392	no screen fantasy-adventure in recent memory has the showmanship of clones'last 45 minutes.
21	420	good film, but very glum.
22	425	(d) oesn't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful.
23	449	as unseemly as its title suggests.
24	461	with its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood, windtalkers is nothing but a sticky-sweet soap.
25	469	no telegraphing is too obvious or simplistic for this movie.
26	544	verbinski implements every hack-artist trick to give us the ooky-sookies.
27	584	minority report is exactly the title indicates, a report.
28	589	this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms.
29	596	does paint some memorable images..., but makhmalbaf keeps her distance from the characters....
30	628	if you're hard up for raunchy college humor, this is it right here.
31	664	the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned.
32	677	so much facile technique, such cute ideas, so little movie.
33	700	further proof that the epicenter of cool, beautiful, thought-provoking foreign cinema is smack-dab in the middle of dubya's axis of evil.
34	710	nothing is sacred in this gut-buster.
35	716	reign of fire looks as if it was made without much thought -- and is best watched that way.
36	774	intriguing documentary which is emotionally diluted by focusing on the story's least interesting subject.
37	792	an absurdist comedy about alienation, separation and loss.
38	794	hilariously inept and ridiculous.
39	819	every dance becomes about seduction, where backstabbing and betrayal are celebrated, and sex is currency.
40	843	rarely has leukemia looked so shimmery and benign.
41	865	a study in shades of gray, offering itself in subtle plot maneuvers...
